County,County Code,Deaths,Population,Crude Rate,num_rate
"Baldwin County, AL",1003,12,140415,8.5 (Unreliable),8.5
"Etowah County, AL",1055,10,103459,9.7 (Unreliable),9.7
"Jefferson County, AL",1073,47,662047,7.1,7.1
"Mobile County, AL",1097,32,399843,8,8
"Anchorage Borough, AK",2020,21,260283,8.1,8.1
"Cochise County, AZ",4003,10,117755,8.5 (Unreliable),8.5
"Coconino County, AZ",4005,14,116320,12.0 (Unreliable),12
"Maricopa County, AZ",4013,274,3072149,8.9,8.9
"Mohave County, AZ",4015,11,155032,7.1 (Unreliable),7.1
"Pima County, AZ",4019,163,843746,19.3,19.3
"Pinal County, AZ",4021,14,179727,7.8 (Unreliable),7.8
"Yavapai County, AZ",4025,11,167517,6.6 (Unreliable),6.6
"Pulaski County, AR",5119,20,361474,5.5,5.5
"Sebastian County, AR",5131,13,115071,11.3 (Unreliable),11.3
"Alameda County, CA",6001,93,1443741,6.4,6.4
"Butte County, CA",6007,10,203171,4.9 (Unreliable),4.9
"Contra Costa County, CA",6013,42,948816,4.4,4.4
"Fresno County, CA",6019,37,799407,4.6,4.6
"Humboldt County, CA",6023,15,126518,11.9 (Unreliable),11.9
"Imperial County, CA",6025,12,142361,8.4 (Unreliable),8.4
"Kern County, CA",6029,77,661645,11.6,11.6
"Lake County, CA",6033,11,58309,18.9 (Unreliable),18.9
"Los Angeles County, CA",6037,518,9519338,5.4,5.4
"Marin County, CA",6041,25,247289,10.1,10.1
"Mendocino County, CA",6045,11,86265,12.8 (Unreliable),12.8
"Monterey County, CA",6053,15,401762,3.7 (Unreliable),3.7
"Orange County, CA",6059,123,2846289,4.3,4.3
"Riverside County, CA",6065,74,1545387,4.8,4.8
"Sacramento County, CA",6067,50,1223499,4.1,4.1
"San Bernardino County, CA",6071,47,1709434,2.7,2.7
"San Diego County, CA",6073,197,2813833,7,7
"San Francisco County, CA",6075,126,776733,16.2,16.2
"San Joaquin County, CA",6077,40,563598,7.1,7.1
"San Luis Obispo County, CA",6079,15,246681,6.1 (Unreliable),6.1
"San Mateo County, CA",6081,29,707161,4.1,4.1
"Santa Barbara County, CA",6083,35,399347,8.8,8.8
"Santa Clara County, CA",6085,70,1682585,4.2,4.2
"Santa Cruz County, CA",6087,10,255602,3.9 (Unreliable),3.9
"Shasta County, CA",6089,16,163256,9.8 (Unreliable),9.8
"Solano County, CA",6095,28,394542,7.1,7.1
"Sonoma County, CA",6097,38,458614,8.3,8.3
"Stanislaus County, CA",6099,34,446997,7.6,7.6
"Tulare County, CA",6107,25,368021,6.8,6.8
"Ventura County, CA",6111,48,753197,6.4,6.4
"Adams County, CO",8001,34,363857,9.3,9.3
"Arapahoe County, CO",8005,43,487967,8.8,8.8
"Boulder County, CO",8013,17,291288,5.8 (Unreliable),5.8
"Denver County, CO",8031,84,554636,15.1,15.1
"El Paso County, CO",8041,43,516929,8.3,8.3
"Jefferson County, CO",8059,47,527056,8.9,8.9
"Mesa County, CO",8077,10,116255,8.6 (Unreliable),8.6
"Pueblo County, CO",8101,23,141472,16.3,16.3
"Fairfield County, CT",9001,66,882567,7.5,7.5
"Hartford County, CT",9003,101,857183,11.8,11.8
"Litchfield County, CT",9005,15,182193,8.2 (Unreliable),8.2
"Middlesex County, CT",9007,10,155071,6.4 (Unreliable),6.4
"New Haven County, CT",9009,84,824008,10.2,10.2
"New London County, CT",9011,24,259088,9.3,9.3
"Tolland County, CT",9013,10,136364,7.3 (Unreliable),7.3
"Windham County, CT",9015,10,109091,9.2 (Unreliable),9.2
"Kent County, DE",10001,11,126697,8.7 (Unreliable),8.7
"New Castle County, DE",10003,38,500265,7.6,7.6
"District of Columbia, DC",11001,76,572059,13.3,13.3
"Alachua County, FL",12001,15,217955,6.9 (Unreliable),6.9
"Bay County, FL",12005,22,148217,14.8,14.8
"Brevard County, FL",12009,36,476230,7.6,7.6
"Broward County, FL",12011,129,1623018,7.9,7.9
"Collier County, FL",12021,15,251377,6.0 (Unreliable),6
"Duval County, FL",12031,77,778879,9.9,9.9
"Escambia County, FL",12033,24,294410,8.2,8.2
"Hillsborough County, FL",12057,87,998948,8.7,8.7
"Lee County, FL",12071,46,440888,10.4,10.4
"Leon County, FL",12073,11,239452,4.6 (Unreliable),4.6
"Manatee County, FL",12081,26,264002,9.8,9.8
"Marion County, FL",12083,21,258916,8.1,8.1
"Miami-Dade County, FL",12086,106,2253362,4.7,4.7
"Okaloosa County, FL",12091,10,170498,5.9 (Unreliable),5.9
"Orange County, FL",12095,63,896344,7,7
"Osceola County, FL",12097,12,172493,7.0 (Unreliable),7
"Palm Beach County, FL",12099,94,1131184,8.3,8.3
"Pasco County, FL",12101,31,344765,9,9
"Pinellas County, FL",12103,72,921482,7.8,7.8
"Polk County, FL",12105,29,483924,6,6
"St. Lucie County, FL",12111,20,192695,10.4,10.4
"Santa Rosa County, FL",12113,12,117743,10.2 (Unreliable),10.2
"Sarasota County, FL",12115,22,325957,6.7,6.7
"Seminole County, FL",12117,30,365196,8.2,8.2
"Volusia County, FL",12127,30,443343,6.8,6.8
"Cherokee County, GA",13057,10,141903,7.0 (Unreliable),7
