FIPS,vets_2016
01001,"5,949"
01003,"20,085"
01005,"1,792"
01007,"1,233"
01009,"4,011"
01011,494
01013,"1,483"
01015,"10,910"
01017,"2,463"
01019,"1,868"
01021,"2,891"
01023,841
01025,"1,616"
01027,"1,152"
01029,894
01031,"7,110"
01033,"3,926"
01035,922
01037,896
01039,"3,237"
01041,"1,016"
01043,"5,926"
01045,"6,978"
01047,"2,595"
01049,"3,725"
01051,"8,025"
01053,"2,705"
01055,"7,513"
01057,"1,280"
01059,"1,529"
01061,"2,575"
01063,500
01065,883
01067,"1,332"
01069,"9,677"
01071,"3,519"
01073,"41,918"
01075,966
01077,"7,284"
01079,"1,824"
01081,"11,129"
01083,"7,182"
01085,698
01087,"1,460"
01089,"35,780"
01091,"1,253"
01093,"1,931"
01095,"6,986"
01097,"31,638"
01099,"1,324"
01101,"19,650"
01103,"9,242"
01105,597
01107,"1,235"
01109,"2,270"
01111,"1,521"
01113,"6,385"
01115,"6,484"
01117,"12,466"
01119,632
01121,"6,027"
01123,"3,440"
01125,"11,324"
01127,"4,418"
01129,923
01131,541
01133,"1,685"
02013,67
02016,152
02020,"30,063"
02050,722
02060,37
02068,222
02070,211
02090,"11,732"
02100,236
02105,161
02110,"2,258"
02122,"5,241"
02130,"1,183"
02150,970
02158,278
02164,119
02170,"10,194"
02180,453
02185,324
02188,253
02195,236
02198,437
02220,550
02230,91
02240,890
02261,738
02275,240
02282,60
02290,316
04001,"2,829"
04003,"19,799"
04005,"8,528"
04007,"5,915"
04009,"2,059"
04011,627
04012,"2,364"
04013,"269,692"
04015,"24,899"
04017,"7,205"
04019,"90,420"
04021,"35,212"
04023,"1,917"
04025,"27,254"
04027,"16,331"
05001,"1,290"
05003,"1,524"
05005,"5,129"
05007,"16,857"
05009,"3,264"
05011,784
05013,350
05015,"2,342"
05017,718
05019,"1,455"
05021,"1,153"
05023,"2,760"
05025,641
05027,"1,654"
05029,"1,612"
05031,"6,083"
05033,"4,839"
05035,"3,114"
05037,"1,156"
05039,551
05041,766
05043,"1,211"
05045,"8,939"
05047,"1,440"
05049,"1,183"
05051,"10,242"
05053,"1,355"
05055,"2,956"
05057,"1,362"
05059,"2,748"
05061,886
05063,"2,683"
05065,"1,438"
05067,"1,146"
05069,"5,315"
05071,"1,834"
05073,408
05075,"1,166"
05077,348
05079,662
05081,"1,005"
05083,"1,765"
05085,"8,309"
05087,"1,155"
05089,"2,109"
05091,"3,476"
05093,"2,750"
05095,570
05097,905
05099,712
05101,707
05103,"1,903"
05105,885
05107,"1,131"
05109,822
05111,"1,426"
05113,"1,957"
05115,"4,719"
05117,634
05119,"30,934"
05121,"1,322"
05123,"1,290"
05125,"10,062"
05127,827
05129,691
05131,"9,377"
05133,886
05135,"1,857"
05137,"1,184"
05139,"2,945"
05141,"1,742"
05143,"12,499"
05145,"5,223"
05147,504
05149,"1,471"
06001,"53,920"
06003,98
06005,"3,919"
06007,"16,375"
06009,"4,398"
06011,891
06013,"51,832"
06015,"2,183"
06017,"14,726"
06019,"40,870"
06021,"1,401"
06023,"8,907"
06025,"6,297"
06027,"1,432"
06029,"40,308"
06031,"9,596"
06033,"5,630"
06035,"2,245"
06037,"294,652"
06039,"7,684"
06041,"11,869"
06043,"1,727"
06045,"5,899"
06047,"11,259"
06049,798
06051,827
06053,"18,881"
06055,"8,935"
06057,"8,632"
06059,"115,115"
06061,"28,155"
06063,"1,996"
06065,"130,906"
06067,"87,027"
06069,"2,577"
06071,"102,270"
06073,"245,377"
06075,"24,199"
06077,"32,193"
06079,"17,481"
06081,"24,333"
06083,"22,547"
06085,"55,727"
06087,"11,274"
06089,"15,998"
06091,339
06093,"4,402"
06095,"35,589"
06097,"24,343"
06099,"24,878"
06101,"6,517"
06103,"5,094"
06105,"1,320"
06107,"16,389"
06109,"4,841"
06111,"42,194"
06113,"9,063"
06115,"6,880"
08001,"29,055"
08003,990
08005,"44,661"
08007,"1,167"
08009,285
08011,435
08013,"14,788"
08014,"4,089"
08015,"1,761"
08017,128
08019,856
08021,544
08023,382
08025,294
08027,542
08029,"3,032"
08031,"32,925"
08033,154
08035,"19,871"
08037,"1,575"
08039,"2,338"
08041,"98,711"
08043,"5,344"
08045,"2,939"
08047,476
08049,795
08051,826
08053,115
08055,739
08057,117
08059,"39,483"
08061,89
08063,527
08065,537
08067,"3,593"
08069,"23,366"
08071,"1,341"
08073,360
08075,"1,548"
08077,"12,624"
08079,86
08081,833
08083,"2,265"
08085,"3,513"
08087,"1,558"
08089,"1,489"
08091,402
08093,"1,678"
08095,334
08097,671
08099,713
08101,"14,777"
08103,473
08105,857
08107,"1,245"
08109,409
08111,48
08113,388
08115,217
08117,"1,185"
08119,"3,113"
08121,430
08123,"16,902"
08125,628
09001,"33,866"
09003,"46,876"
09005,"11,951"
09007,"11,019"
09009,"44,480"
09011,"24,714"
09013,"9,898"
09015,"8,803"
10001,"19,370"
10003,"32,448"
10005,"21,013"
11001,"28,413"
12001,"16,513"
12003,"2,094"
12005,"24,571"
12007,"2,337"
12009,"70,275"
12011,"85,475"
12013,"1,348"
12015,"22,916"
12017,"20,569"
12019,"27,337"
12021,"29,324"
12023,"6,749"
12027,"2,171"
12029,"1,659"
12031,"91,296"
12033,"41,556"
12035,"11,725"
12037,"1,019"
12039,"3,527"
12041,"1,681"
12043,996
12045,"1,586"
12047,948
12049,"1,425"
12051,"1,598"
12053,"20,359"
12055,"11,196"
12057,"98,307"
12059,"1,756"
12061,"15,267"
12063,"4,407"
12065,"1,328"
12067,562
12069,"34,562"
12071,"62,578"
12073,"18,034"
12075,"4,759"
12077,527
12079,"1,330"
12081,"32,410"
12083,"39,272"
12085,"14,526"
12086,"61,075"
12087,"7,398"
12089,"8,947"
12091,"35,636"
12093,"2,876"
12095,"69,938"
12097,"17,683"
12099,"85,707"
12101,"51,749"
12103,"90,533"
12105,"50,218"
12107,"7,110"
12109,"19,939"
12111,"25,603"
12113,"24,444"
12115,"43,405"
12117,"31,017"
12119,"20,027"
12121,"4,183"
12123,"1,930"
12125,"1,064"
12127,"55,270"
12129,"2,718"
12131,"7,042"
12133,"2,391"
13001,"1,071"
13003,413
13005,601
13007,174
13009,"3,058"
13011,"1,110"
13013,"4,938"
13015,"7,926"
13017,"1,128"
13019,"1,595"
13021,"10,774"
13023,880
13025,"1,328"
13027,"1,462"
13029,"4,381"
13031,"4,528"
13033,"1,566"
13035,"1,586"
13037,292
13039,"7,448"
13043,842
13045,"6,847"
13047,"4,335"
13049,898
13051,"27,148"
13053,"1,637"
13055,"1,658"
13057,"15,112"
13059,"4,899"
13061,219
13063,"18,261"
13065,395
13067,"42,783"
13069,"2,257"
13071,"2,510"
13073,"16,193"
13075,"1,190"
13077,"11,344"
13079,"1,079"
13081,"1,300"
13083,"1,143"
13085,"1,961"
13087,"1,801"
13089,"37,785"
13091,"1,365"
13093,706
13095,"6,850"
13097,"10,792"
13099,626
13101,201
13103,"5,373"
13105,"1,328"
